match_id,id,minute,second,team,player,x,y,shot_body_part,shot_type,shot_first_time,shot_aerial_won,under_pressure,is_goal,shot_one_on_one
3879761,40c6b8e9-9806-47f1-91c2-f785f405ca3a,16,42,Atalanta,Mauricio Ricardo Pinilla Ferreira,105.0,46.5,Right Foot,Open Play,True,,,0,
3879761,11828e07-4cde-4d42-8eb2-36741d1d36b0,21,30,Atalanta,Alessandro Diamanti,87.8,48.3,Left Foot,Free Kick,,,,0,
3879761,23cdc09b-0887-47d1-9a51-0ace18e8157b,23,21,Atalanta,Andrea Masiello,110.7,40.9,Head,Open Play,,True,True,0,
3879761,5078ae48-2b2b-40c3-b6c9-05c0c0897337,29,7,Atalanta,Alessandro Diamanti,94.5,54.5,Left Foot,Open Play,,,,0,
3879761,da2d3c51-09ac-4738-a9d5-f7c1a10d3f9a,31,42,Carpi,Lorenzo Lollo,89.2,31.1,Left Foot,Open Play,True,,,0,
3879761,6d3430fe-0a64-4051-8a88-740fe5fcc186,32,41,Atalanta,Mauricio Ricardo Pinilla Ferreira,102.1,38.3,Head,Open Play,,,,0,
3879761,e58e9296-3d54-4cc4-87d9-f2c8d7dc6fe2,34,44,Atalanta,Gabriel Alejandro Paletta,104.6,53.4,Right Foot,Open Play,True,,True,0,
3879761,c98e6335-0362-490f-9d8e-64ec63e0bc11,40,22,Carpi,Riccardo Gagliolo,114.3,36.0,Left Foot,Open Play,True,,True,0,
3879761,a58f7b11-bb6a-49d6-ab4a-45da8c07ae0a,42,2,Atalanta,Jasmin Kurtič,106.3,60.6,Right Foot,Open Play,True,,,0,
3879761,65cd4a43-5f4a-4d48-b722-64fb68f1da75,42,5,Atalanta,Marten de Roon,90.9,43.7,Right Foot,Open Play,,,,0,
3879761,f3fadbfa-9b81-4e7f-aec1-b13e33362a77,47,39,Carpi,Raffaele Bianco,91.3,46.5,Left Foot,Open Play,,,True,0,
3879761,e12d6a99-865f-4457-be20-954a2d0cc6c2,48,11,Carpi,Antonio Di Gaudio,105.0,26.9,Right Foot,Open Play,,,,0,
3879761,cefc29eb-a6a2-4e06-b53d-64b61a79a76f,50,15,Atalanta,Marco D''Alessandro,100.0,23.2,Right Foot,Open Play,,,,0,
3879761,de4d81d5-c713-4147-b9d4-a3903572d697,51,29,Atalanta,Jasmin Kurtič,115.2,46.5,Right Foot,Open Play,True,,,1,
3879761,67fe010d-c037-47dd-8c0f-31910a8dca5f,55,54,Carpi,Jerry Uche Mbakogu,111.7,39.7,Head,Open Play,,,,0,
3879761,f2f2c354-337b-4ad9-b86f-3f11e7dc81d0,58,6,Carpi,Antonio Di Gaudio,108.7,30.4,Right Foot,Open Play,,,True,0,
3879761,a9cddf93-2651-414b-9e50-4b1c5adcf88c,62,58,Atalanta,Marco D''Alessandro,102.3,25.7,Left Foot,Open Play,True,,,0,
3879761,26c91dbb-72dd-47c5-a00e-e558e85fe91e,74,50,Carpi,Simone Verdi,108.1,40.1,Right Foot,Penalty,,,,1,
3879761,9c0e344e-7508-405c-80a1-6ccd681d663d,76,14,Carpi,Jerry Uche Mbakogu,110.1,38.8,Head,Open Play,,True,True,0,
3879761,fc9c9373-3082-4715-9102-5227599652d1,78,44,Atalanta,Marco Borriello,111.6,31.6,Head,Open Play,,,,0,
3879761,d3379edf-75a5-4c12-a7b4-061a4841fc99,82,57,Atalanta,Giulio Migliaccio,108.3,42.3,Head,Open Play,,True,True,0,
3879760,46136eda-8774-4ef4-a51a-c2bec58c8de3,11,6,Bologna,Emanuele Giaccherini,85.5,31.5,Right Foot,Free Kick,,,,0,
